deal_id;type;content
*       80;DEAL;J96-KQT3-A4-AQ95, Q53-2-QT7-KT7432, AK74-A8754-J85-6, T82-J96-K9632-J8
*       80;DIRS;  North      East     South      West
*       80;BIDS;   1SA      passe       2T      passe   
*       80;RULE;    10                 272              
*       80;BIDS;    2C      passe       4C      passe   
*       80;RULE;   303                 316              
*       80;BIDS;  passe     passe   
*       80;RULE;                    
*       81;DEAL;AKQ54-T82-J765-8, T7-K753-T-AKQ742, 2-AJ96-A983-JT65, J9863-Q4-KQ42-93
*       81;DIRS;  North      East     South      West
*       81;BIDS;  passe       1T      passe     passe   
*       81;RULE;              17                        
*       81;BIDS;  passe   
*       81;RULE;          
*       82;DEAL;AQ-T6-AKJT8654-K, JT4-AQ5-932-9872, K6532-8743-AQJ3, 987-KJ92-Q7-T654
*       82;DIRS;  North      East     South      West
*       82;BIDS;    1K      passe       1P      passe   
*       82;RULE;    17                  62              
*       82;BIDS;    3K      passe     passe     passe   
*       82;RULE;   560                                  
*       83;DEAL;AT-864-652-AT652, QJ972-T972-JT4-J, K65-KJ-K987-K984, 843-AQ53-AQ3-Q73
*       83;DIRS;  North      East     South      West
*       83;BIDS;  passe     passe       1K        1T    
*       83;RULE;                        17        17    
*       83;BIDS;  passe     passe     passe   
*       83;RULE;                              
*       84;DEAL;Q765-Q743-T4-JT6, K2-85-AJ97653-Q9, JT94-AK2-K-87432, A83-JT96-Q82-AK5
*       84;DIRS;  North      East     South      West
*       84;BIDS;  passe       3K      passe       1T    
*       84;RULE;              23                  17    
*       84;BIDS;  passe     passe     passe   
*       84;RULE;                              
*       85;DEAL;T7-J865-J9862-A3, KJ4-K3-AK54-QT94, 9632-Q972-QT-K62, AQ85-AT4-73-J875
*       85;DIRS;  North      East     South      West
*       85;BIDS;  passe      1SA      passe       2T    
*       85;RULE;              10                 272    
*       85;BIDS;  passe       2K      passe      3SA    
*       85;RULE;             302                 308    
*       85;BIDS;  passe     passe     passe   
*       85;RULE;                              
*       86;DEAL;32-QJ4-AQJ64-AT5, KQ64-KT5-873-J43, AJT8-76-KT52-K97, 975-A9832-9-Q862
*       86;DIRS;  North      East     South      West
*       86;BIDS;    1K      passe       1P      passe   
*       86;RULE;    17                  61              
*       86;BIDS;   1SA      passe     passe     passe   
*       86;RULE;   491                                  
*       87;DEAL;QT42-T65-K52-AJ8, A53-AQ73-AQ76-Q4, 987-84-T84-KT962, KJ6-KJ92-J93-753
*       87;DIRS;  North      East     South      West
*       87;BIDS;  passe       1K      passe     passe   
*       87;RULE;              17                        
*       87;BIDS;  passe   
*       87;RULE;          
*       88;DEAL;T8-AK-AKQ7-T8763, AJ43-JT5-8532-Q9, KQ95-874-T96-K54, 762-Q9632-J4-AJ2
*       88;DIRS;  North      East     South      West
*       88;BIDS;   1SA      passe     passe     passe   
*       88;RULE;    12                                  
*       89;DEAL;AQ4-J8632-3-KQ92, KT92-K5-AQ64-J43, 8653-A974-J87-65, J7-QT-KT952-AT87
*       89;DIRS;  North      East     South      West
*       89;BIDS;    1C      passe     passe     passe   
*       89;RULE;    16                                  
*       90;DEAL;KJ972-KQJ82-5-J9, 85-7643-87632-63, T6-AT95-J94-Q875, AQ43-AKQT-AKT42
*       90;DIRS;  North      East     South      West
*       90;BIDS;  passe     passe     passe       1T    
*       90;RULE;                                  17    
*       90;BIDS;    1P      passe      1SA      passe   
*       90;RULE;    21                  35              
*       90;BIDS;    2C      passe     passe     passe   
*       90;RULE;   520                                  
